"株式会社一蔵（いち瑠）/アイレップ (526510)"
"キャンペーンレポート (CAMPAIGN)"
"2016/01/01-2016/01/17"
"表示切替: -"
"フィルター: -"
キャンペーン名,キャンペーンタイプ,インプレッション数,クリック数,クリック率,平均掲載順位,コスト,平均CPC,ユニークコンバージョン数,コスト/ユニークコンバージョン数,ユニークコンバージョン率
601_着付け教室,標準キャンペーン,29882,279,0.0093,3.1,35137,125.9391,6,5856.1667,0.0215
501_着物教室,標準キャンペーン,22993,306,0.0133,3.0,25661,83.8595,4,6415.2500,0.0131
401_着付け,標準キャンペーン,37711,289,0.0077,3.4,21710,75.1211,4,5427.5000,0.0138
101_社名,標準キャンペーン,12693,189,0.0149,1.5,18717,99.0317,7,2673.8571,0.0370
301_和服,標準キャンペーン,16633,126,0.0076,3.1,17218,136.6508,0,0.0000,0.0000
201_着物,標準キャンペーン,29982,217,0.0072,4.1,16849,77.6452,2,8424.5000,0.0092
102_社名（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
202_着物（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
302_和服（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
402_着付け（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
502_着物教室（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
602_着付け教室（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
SP_和のお稽古,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
SP_指名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
SP_着付け教室,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
SP_着物,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
和のお稽古,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
指名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
着付け教室,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
着物,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
--,--,149894,1406,0.0094,3.2,135292,96.2248,23,5882.2609,0.0164
