"株式会社一蔵（amour）/アイレップ (526513)"
"20160118キャンペーンレポート (CAMPAIGN)"
"2016/01/01-2016/01/17"
"表示切替: -"
"フィルター: -"
キャンペーン名,キャンペーンタイプ,インプレッション数,クリック数,クリック率,平均掲載順位,コスト,平均CPC,ユニークコンバージョン数,コスト/ユニークコンバージョン数,ユニークコンバージョン率
201_振袖レンタル_掛,標準キャンペーン,15036,354,0.0235,2.4,37768,106.6893,4,9442.0000,0.0113
202_振袖レンタル_単,標準キャンペーン,57334,898,0.0157,4.0,21925,24.4154,3,7308.3333,0.0033
101_社名,標準キャンペーン,15934,134,0.0084,1.8,12655,94.4403,1,12655.0000,0.0075
401_ageha,標準キャンペーン,448,9,0.0201,1.7,470,52.2222,0,0.0000,0.0000
301_マルイ,標準キャンペーン,34,6,0.1765,1.6,332,55.3333,0,0.0000,0.0000
101_社名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
15年振フェス（エリア：北海道）_社名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
15年振フェス（エリア：北海道）_非指名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
15年振フェス（エリア：東京・千葉・埼玉）_社名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
15年振フェス（エリア：東京・千葉・埼玉）_非指名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
15年振フェス（エリア：神奈川）_社名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
15年振フェス（エリア：神奈川）_非指名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
201_振袖レンタル,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
202_振袖レンタル_単,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
202_振袖レンタル_単,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
301_マルイ,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
401_ageha,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
501_パルコ,標準キャンペーン,14,0,0.0000,1.5,0,0.0000,0,0.0000,0.0000
ageha連動,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
アムール_あげは,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
アムール_アゲハ,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
アムール_大島優子,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
アムール_指名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
アムール_振袖_地域,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
アムール_百貨店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
アムール_百貨店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
振フェス用_振袖,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
振フェス用_振袖_レンタル,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
振フェス用_社名,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0,0.0000,0.0000
--,--,88800,1401,0.0158,3.3,73150,52.2127,8,9143.7500,0.0057
