"株式会社一蔵（振袖の一蔵）/アイレップ (526507)"
"20160115キャンペーンレポート (CAMPAIGN)"
"2016/01/01-2016/01/17"
"表示切替: コンバージョン名"
"フィルター: -"
コンバージョン名,キャンペーン名,キャンペーンタイプ,ユニークコンバージョン数,キャンペーンID,売上/ユニークコンバージョン数,合計売上金額,総コンバージョン数,売上/総コンバージョン数
資料請求,振袖_掛,標準キャンペーン,5,830207,0.0000,0.0,9,0.0000
資料請求,社名_単ワード,標準キャンペーン,4,830206,0.0000,0.0,8,0.0000
来店予約,振袖_単ワード,標準キャンペーン,3,830209,0.0000,0.0,3,0.0000
資料請求,振袖_単ワード,標準キャンペーン,2,830209,0.0000,0.0,2,0.0000
資料請求,社名_掛,標準キャンペーン,2,830205,0.0000,0.0,3,0.0000
資料請求,01_地域_愛知,標準キャンペーン,1,928715,0.0000,0.0,1,0.0000
資料請求,08_地域_大阪,標準キャンペーン,1,928722,0.0000,0.0,1,0.0000
来店予約,10_地域_福岡,標準キャンペーン,1,928724,0.0000,0.0,1,0.0000
資料請求,11_地域_北海道,標準キャンペーン,1,928725,0.0000,0.0,1,0.0000
来店予約,振袖_掛,標準キャンペーン,1,830207,0.0000,0.0,2,0.0000
来店予約,振袖レンタル_単ワード,標準キャンペーン,1,830212,0.0000,0.0,1,0.0000
資料請求,振袖レンタル_単ワード,標準キャンペーン,1,830212,0.0000,0.0,1,0.0000
来店予約,振袖レンタル_掛,標準キャンペーン,1,830210,0.0000,0.0,1,0.0000
来店予約,社名_単ワード,標準キャンペーン,1,830206,0.0000,0.0,2,0.0000
--,--,--,25,--,0.0000,0.0,36,0.0000
