"株式会社一蔵（振袖の一蔵）/アイレップ (526507)"
"20160115キャンペーンレポート (CAMPAIGN)"
"2016/01/01-2016/01/17"
"表示切替: -"
"フィルター: -"
キャンペーン名,キャンペーンタイプ,インプレッション数,クリック数,クリック率,平均掲載順位,コスト,平均CPC,コスト/ユニークコンバージョン数,ユニークコンバージョン数,ユニークコンバージョン率
振袖_掛,標準キャンペーン,130566,2186,0.0167,3.1,137266,62.7932,22877.6667,6,0.0027
振袖_単ワード,標準キャンペーン,130815,2331,0.0178,2.4,122327,52.4783,24465.4000,5,0.0021
振袖レンタル_単ワード,標準キャンペーン,41040,663,0.0162,4.0,77079,116.2579,38539.5000,2,0.0030
振袖レンタル_掛,標準キャンペーン,42529,810,0.0190,3.6,42155,52.0432,42155.0000,1,0.0012
01_地域_愛知,標準キャンペーン,7145,109,0.0153,2.4,17593,161.4037,17593.0000,1,0.0092
社名_単ワード,標準キャンペーン,11285,310,0.0275,1.3,15812,51.0065,3162.4000,5,0.0161
11_地域_北海道,標準キャンペーン,4831,95,0.0197,2.4,14152,148.9684,14152.0000,1,0.0105
09_地域_東京,標準キャンペーン,13949,96,0.0069,3.5,13658,142.2708,0.0000,0,0.0000
06_地域_神奈川,標準キャンペーン,7085,85,0.0120,4.0,12095,142.2941,0.0000,0,0.0000
社名_掛,標準キャンペーン,4490,171,0.0381,1.2,11667,68.2281,5833.5000,2,0.0117
03_地域_岡山,標準キャンペーン,3292,62,0.0188,2.0,11247,181.4032,0.0000,0,0.0000
08_地域_大阪,標準キャンペーン,7638,71,0.0093,4.9,9534,134.2817,9534.0000,1,0.0141
04_地域_埼玉,標準キャンペーン,4136,80,0.0193,2.4,9171,114.6375,0.0000,0,0.0000
前撮り,標準キャンペーン,17817,178,0.0100,4.3,8326,46.7753,0.0000,0,0.0000
10_地域_福岡,標準キャンペーン,5465,90,0.0165,3.8,6572,73.0222,6572.0000,1,0.0111
07_地域_千葉,標準キャンペーン,2512,31,0.0123,3.4,2866,92.4516,0.0000,0,0.0000
02_地域_群馬,標準キャンペーン,609,11,0.0181,1.9,2345,213.1818,0.0000,0,0.0000
05_地域_山口,標準キャンペーン,692,15,0.0217,1.9,1748,116.5333,0.0000,0,0.0000
102_社名（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
14_振フェス,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
14_振フェス_千葉,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
14_振フェス_埼玉,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
14_振フェス_大阪,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
14_振フェス_愛知,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
14_振フェス_東京,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
14_振フェス_神奈川,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
14_振フェス_福岡,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
15年振フェス（エリア：東京・千葉・埼玉）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
15年振フェス（エリア：神奈川）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
202_日本橋ココン（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
302_振袖_単（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
302_振袖_単（完）（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
311_振袖_掛（PC）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
322_振袖レンタル（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
402_成人式（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
502_前撮り（SP）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
601_振袖フェス（東京）,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
602_振袖フェス(大阪),標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
SP_店舗_千葉店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
SP_店舗_名古屋店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
SP_店舗_品川店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
SP_店舗_大宮店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
SP_店舗_天王寺店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
SP_店舗_山口店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
SP_店舗_岡山店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
SP_店舗_所沢店,標準キャンペーン,0,0,0.0000,0.0,0,0.0000,0.0000,0,0.0000
